rebalance_date,overall_tradable_nav,overall_basket_level,overall_cash_weight,overall_price_coverage_share,n_baskets,total_entries,total_exits,total_turnover,rebalanced_baskets
2024-05-10,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-11,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-12,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-13,118.68396816412113,118.68396816412113,1.0,0.9059670193499191,10,0,0,0.0,10
2024-05-14,118.68396816412113,118.68396816412113,0.9106686683824231,0.9529835096749596,10,1,0,0.4749999999999999,10
2024-05-15,118.84654321638315,118.84654321638315,0.910323759766139,0.9529835096749596,10,0,0,0.0,9
2024-05-16,118.84654321638315,118.84654321638315,0.910323759766139,0.9529835096749596,10,0,0,0.0,9
2024-05-17,118.84654321638315,118.84654321638315,0.910323759766139,0.9529835096749596,10,0,0,0.0,9
2024-05-18,119.1716933209072,119.1716933209072,0.9097663316994172,0.9529835096749596,10,0,0,0.0,9
2024-05-19,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-20,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-21,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-22,119.98456858221732,119.98456858221732,0.9088455799820644,0.9529835096749596,10,0,0,0.0,9
2024-05-23,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-24,119.1716933209072,119.1716933209072,0.9097663316994172,0.9529835096749596,10,0,0,0.0,9
2024-05-25,119.1716933209072,119.1716933209072,0.9097663316994172,0.9529835096749596,10,0,0,0.0,9
2024-05-26,119.1716933209072,119.1716933209072,0.9097663316994172,0.9529835096749596,10,0,0,0.0,9
2024-05-27,119.1716933209072,119.1716933209072,0.9097663316994172,0.9529835096749596,10,0,0,0.0,9
2024-05-28,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-29,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-30,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-05-31,119.49684342543125,119.49684342543125,0.9093353649254443,0.9529835096749596,10,0,0,0.0,9
2024-06-01,119.65941847769327,119.65941847769327,0.7819464302735679,1.0,10,1,0,0.48350746268656714,10
2024-06-02,119.65941847769327,119.65941847769327,0.7819464302735679,1.0,10,0,0,0.0,8
2024-06-03,119.65941847769327,119.65941847769327,0.7819464302735679,1.0,10,0,0,0.0,8
2024-06-04,119.65941847769327,119.65941847769327,0.7819464302735679,1.0,10,0,0,0.0,8
2024-06-05,119.65941847769327,119.65941847769327,0.7819464302735679,1.0,10,0,0,0.0,8
2024-06-06,119.59906850626311,119.59906850626311,0.7817566833667268,1.0,10,0,0,0.0,8
2024-06-07,119.63823403146047,119.63823403146047,0.7812666403317822,1.0,10,0,0,0.0,8
2024-06-08,119.47836856340281,119.47836856340281,0.7814435223823747,1.0,10,0,0,0.0,8
2024-06-09,119.47836856340281,119.47836856340281,0.7814435223823747,1.0,10,0,0,0.0,8
2024-06-10,119.47836856340281,119.47836856340281,0.7814435223823747,1.0,10,0,0,0.0,8
2024-06-11,119.47836856340281,119.47836856340281,0.7814435223823747,1.0,10,0,0,0.0,8
2024-06-12,119.47836856340281,119.47836856340281,0.7814435223823747,1.0,10,0,0,0.0,8
